first_name, last_name, email        , gender     , Credit_Card, card_type                , money     , bank_name                                                                                                         , occupation                          , race                                             , university                                                                          , latitude, longtidue   , Country                         , street_address
*         , *        , ****@****.net, Male       , *          , diners-club-carte-blanche, $950737.95, Volksbank in Ostwestfalen eG                                                                                      , Statistician II                     , Ottawa                                           , Universitas Mahasaraswati Denpasar                                                  , -7.8    , 110.3843618 , Indonesia                       , *
*         , *        , ****@****.es , Male       , *          , mastercard               , $637825.47, UNITED BANK                                                                                                       , Recruiting Manager                  , Tlingit-Haida                                    , Balkh University                                                                    , 36.7    , 69.5394189  , Afghanistan                     , *
*         , *        , ****@****.com, Female     , *          , mastercard               , $973034.06, UNITED COMMUNITY BANK                                                                                             , Occupational Therapist              , Bangladeshi                                      , Universidade Estadual do Maranhão                                                   , -19.4   , -42.5117238 , Brazil                          , *
*         , *        , ****@****.edu, Female     , *          , americanexpress          , $142491.96, SECURITY STATE BANK                                                                                               , Programmer IV                       , Samoan                                           , Beijing University of Aeronautics and Astronautics                                  , 31.3    , 119.823308  , China                           , *
*         , *        , ****@****.com, Male       , *          , mastercard               , $84867.55 , FIRST NATIONAL BANK                                                                                               , Assistant Professor                 , Asian Indian                                     , Université Gamal Abdel Nasser de Conakry                                            , 10.4    , -13.5841871 , Guinea                          , *
*         , *        , ****@****.cz , Female     , *          , jcb                      , $907380.14, WEBSTER BANK                                                                                                      , Account Executive                   , Yuman                                            , Universitas Atma Jaya Yogyakarta                                                    , -8.5    , 117.3959673 , Indonesia                       , *
*         , *        , ****@****.com, Female     , *          , visa-electron            , $102590.11, Volksbank Ostlippe eG                                                                                             , Mechanical Systems Engineer         , Melanesian                                       , Chongqing Education College                                                         , 26.1    , 107.924631  , China                           , *
*         , *        , ****@****.com, Male       , *          , jcb                      , $718580.48, GLACIER BANK                                                                                                      , Quality Control Specialist          , Pueblo                                           , University of Veterinary and Pharmaceutical Science                                 , 49.1    , 17.5496163  , Czech Republic                  , *
*         , *        , ****@****.com, Female     , *          , jcb                      , $557937.87, CAPITAL ONE                                                                                                       , Senior Cost Accountant              , Seminole                                         , Universitas Katolik Parahyangan                                                     , -8.7    , 122.2171695 , Indonesia                       , *
*         , *        , ****@****.com, Male       , *          , jcb                      , $395436.76, BANQUE ENI                                                                                                        , Recruiting Manager                  , Navajo                                           , Fudan University                                                                    , 32.6    , 115.5777522 , China                           , *
*         , *        , ****@****.com, Female     , *          , jcb                      , $753540.24, NBH BANK                                                                                                          , Desktop Support Technician          , Sri Lankan                                       , Universidad Nacional de Educación Enrique Guzmán y Valle                            , -11.0   , -77.6407258 , Peru                            , *
*         , *        , ****@****.uk , Male       , *          , bankcard                 , $139903.04, Progressive Credit Union Limited                                                                                  , Software Engineer III               , Argentinian                                      , Kwara State Polytecnic                                                              , 12.4    , 9.5291085   , Nigeria                         , *
*         , *        , ****@****.com, Male       , *          , jcb                      , $961009.31, FEDERAL RESERVE BANK                                                                                              , Assistant Professor                 , Asian                                            , Chengdu University of Technology                                                    , 27.5    , 119.662909  , China                           , *
*         , *        , ****@****.com, Male       , *          , solo                     , $819957.52, UMPQUA BANK                                                                                                       , Editor                              , Dominican (Dominican Republic)                   , Universitas Negeri Manado                                                           , -7.1    , 108.0663    , Indonesia                       , *
*         , *        , ****@****.com, Non-binary , *          , visa-electron            , $430343.65, REGIONS BANK                                                                                                      , Design Engineer                     , Yuman                                            , Ecole Supérieure de Commerce de Reims                                               , 48.9    , 2.3011787   , France                          , *
*         , *        , ****@****.com, Female     , *          , jcb                      , $746049.86, Bulgarian-American Credit Bank AD                                                                                 , Account Representative IV           , Cherokee                                         , Chiang Mai Vocational College                                                       , 18.4    , 98.9024603  , Thailand                        , *
*         , *        , ****@****.edu, Non-binary , *          , bankcard                 , $244085.74, VR-Bank Alb-Blau-Donau eG                                                                                         , Geological Engineer                 , Guamanian                                        , Oakland University                                                                  , 30.0    , -90.0795843 , United States                   , *
*         , *        , ****@****.com, Genderqueer, *          , jcb                      , $468819.94, GLACIER BANK                                                                                                      , Health Coach I                      , Hmong                                            , Tietgen Business College                                                            , 55.7    , 12.5562471  , Denmark                         , *
*         , *        , ****@****.com, Male       , *          , diners-club-carte-blanche, $170361.36, SANTANDER BANK                                                                                                    , Editor                              , Honduran                                         , K.N.Toosi University of Technology                                                  , 35.4    , 51.7862672  , Iran                            , *
*         , *        , ****@****.com, Male       , *          , laser                    , $982216.22, SELF-HELP CREDIT UNION                                                                                            , Programmer I                        , Chamorro                                         , Universitas Kristen Duta Wacana                                                     , -8.2    , 123.7805    , Indonesia                       , *
*         , *        , ****@****.edu, Male       , *          , jcb                      , $839098.82, "Raiffeisenkasse Schlitters, Bruck und Strass registrierte Genossenschaft mit beschränkter Haftung"               , Senior Cost Accountant              , Houma                                            , National Aviation Univesity                                                         , 45.6    , 29.3753657  , Ukraine                         , *
*         , *        , ****@****.com, Female     , *          , jcb                      , $657294.70, KEY BANK                                                                                                          , Staff Scientist                     , Costa Rican                                      , Université de Kikwite                                                               , 1.6     , 30.2397336  , Democratic Republic of the Congo, *
*         , *        , ****@****.com, Female     , *          , jcb                      , $491854.79, BPCE lease                                                                                                        , Software Engineer IV                , Cambodian                                        , University of Priština                                                              , 42.4    , 21.7405988  , Serbia                          , *
*         , *        , ****@****.jp , Bigender   , *          , americanexpress          , $970082.96, Volksbank Steiermark AG                                                                                           , Chemical Engineer                   , Bolivian                                         , University of Sadat City                                                            , 31.4    , 27.2373159  , Egypt                           , *
*         , *        , ****@****.com, Male       , *          , jcb                      , $188828.68, Caixa geral de depositos S.A.                                                                                     , Help Desk Operator                  , Honduran                                         , Mid-Sweden University                                                               , 60.1    , 15.0050581  , Sweden                          , *
*         , *        , ****@****.com, Male       , *          , jcb                      , $317984.88, Volksbank Pfullendorf eG                                                                                          , Systems Administrator II            , Central American                                 , Tai Solarin University of Education                                                 , 6.3     , 7.2733783   , Nigeria                         , *
*         , *        , ****@****.com, Female     , *          , jcb                      , $376733.80, Volksbank Raiffeisenbank Bayern Mitte eG                                                                          , Staff Accountant I                  , White                                            , Universitas Nasional Jakarta                                                        , -0.3    , 109.1463836 , Indonesia                       , *
*         , *        , ****@****.org, Female     , *          , visa-electron            , $525411.98, Lunar Bank A/S                                                                                                    , Senior Developer                    , Tlingit-Haida                                    , Universitas Atma Jaya Yogyakarta                                                    , 2.1     , 100.9241963 , Indonesia                       , *
*         , *        , ****@****.com, Female     , *          , jcb                      , $842326.43, Schelhammer Capital Bank AG                                                                                       , Human Resources Manager             , Ute                                              , Lviv National University Ivan Franko                                                , 49.6    , 24.2948622  , Ukraine                         , *
*         , *        , ****@****.com, Male       , *          , china-unionpay           , $49331.73 , Raiffeisenbank Pöndorf - Frankenmarkt eGen                                                                        , Assistant Professor                 , Pueblo                                           , Dravidian University                                                                , 15.2    , 145.7467259 , Northern Mariana Islands        , *
*         , *        , ****@****.com, Male       , *          , jcb                      , $233595.15, Aareal Bank AG                                                                                                    , Staff Accountant I                  , Mexican                                          , Mahidol University International College                                            , 14.9    , 104.5422225 , Thailand                        , *
*         , *        , ****@****.com, Male       , *          , bankcard                 , $653260.42, "BANCO ACTIVOBANK, S.A."                                                                                          , Health Coach II                     , American Indian                                  , Dnepropetrovsk National University of Railway Transport                             , 45.5    , 28.2888529  , Ukraine                         , *
*         , *        , ****@****.org, Male       , *          , visa                     , $5770.05  , Raiffeisenbank Saalbach-Hinterglemm-Viehhofen eGen                                                                , Electrical Engineer                 , Yuman                                            , Universitas Negeri Malang                                                           , -6.8    , 107.5087328 , Indonesia                       , *
*         , *        , ****@****.com, Female     , *          , maestro                  , $843145.09, PNC BANK                                                                                                          , Design Engineer                     , Guamanian                                        , University of Uyo                                                                   , 6.7     , 8.6050736   , Nigeria                         , *
*         , *        , ****@****.com, Genderqueer, *          , jcb                      , $621462.94, norisbank GmbH                                                                                                    , Chemical Engineer                   , Pueblo                                           , Université Claude Bernard (Lyon I)                                                  , 45.2    , 0.768949    , France                          , *
*         , *        , ****@****.fr , Female     , *          , jcb                      , $931988.99, BANCA TRANSILVANIA S.A.                                                                                           , Operator                            , Korean                                           , Iwate University                                                                    , 35.5    , 138.7316925 , Japan                           , *
*         , *        , ****@****.com, Male       , *          , mastercard               , $749409.41, CASSA RAIFFEISEN TIROLO SOCIETA' COOPERATIVA (IN LINGUA TEDESCA RAIFFEISENKASSE TIROL GENOSSENSCHAFT)             , Dental Hygienist                    , Colville                                         , Philippine Normal University                                                        , 10.5    , 123.713859  , Philippines                     , *
*         , *        , ****@****.com, Female     , *          , jcb                      , $86085.76 , VIVIBANCA S.P.A.                                                                                                  , Senior Sales Associate              , Yuman                                            , Yunnan University                                                                   , 42.7    , -73.758719  , China                           , *
*         , *        , ****@****.com, Female     , *          , mastercard               , $29318.78 , PEOPLES BANK                                                                                                      , Marketing Assistant                 , Chippewa                                         , Instituto Politécnico de Lisboa                                                     , 40.6    , -8.5858661  , Portugal                        , *
*         , *        , ****@****.jp , Female     , *          , jcb                      , $161627.59, UBS Europe SE                                                                                                     , Software Engineer I                 , Uruguayan                                        , Universitas Terbuka Indonesia                                                       , -6.5    , 106.8502879 , Indonesia                       , *
*         , *        , ****@****.eu , Male       , *          , jcb                      , $605062.38, BANK OF CYPRUS PUBLIC COMPANY LTD                                                                                 , Senior Cost Accountant              , Aleut                                            , University of West Hungary                                                          , 47.5    , 19.0645121  , Hungary                         , *
*         , *        , ****@****.com, Female     , *          , mastercard               , $56879.60 , NEW YORK COMMUNITY BANK                                                                                           , Software Test Engineer II           , Colville                                         , "Central University of Technology, Free State"                                      , -26.1   , 27.72907    , South Africa                    , *
*         , *        , ****@****.com, Male       , *          , jcb                      , $678540.82, FARMERS BANK                                                                                                      , Desktop Support Technician          , Filipino                                         , Universidad Nacional de Tucumán                                                     , -33.0   , -68.8493333 , Argentina                       , *
*         , *        , ****@****.com, Genderqueer, *          , diners-club-carte-blanche, $290483.38, SECURITY STATE BANK                                                                                               , Human Resources Manager             , Guatemalan                                       , Donetsk National University                                                         , 48.7    , 24.4272889  , Ukraine                         , *
*         , *        , ****@****.com, Female     , *          , switch                   , $767062.47, Sparkasse Herzogenburg-Neulengbach Bank Aktiengesellschaft                                                        , Associate Professor                 , Apache                                           , Yerevan State University                                                            , 40.6    , 44.6998779  , Armenia                         , *
*         , *        , ****@****.com, Female     , *          , diners-club-carte-blanche, $763237.27, PENTAGON FEDERAL CREDIT UNION                                                                                     , General Manager                     , Samoan                                           , Technische Fachhochschule Wildau                                                    , 50.1    , 8.911141    , Germany                         , *
*         , *        , ****@****.com, Polygender , *          , jcb                      , $446714.96, US BANK                                                                                                           , Speech Pathologist                  , Uruguayan                                        , Steinbeis-Hochschule-Berlin                                                         , 42.4    , 21.4332317  , Kosovo                          , *
*         , *        , ****@****.au , Female     , *          , mastercard               , $78813.64 , US BANK                                                                                                           , Nurse Practicioner                  , Potawatomi                                       , Kunmimg University of Science and Technology                                        , 22.1    , 113.83012   , China                           , *
*         , *        , ****@****.com, Female     , *          , diners-club-us-ca        , $320409.91, Raiffeisenkasse Neusiedl a.d.Zaya eGen                                                                            , Senior Developer                    , Yakama                                           , Southwest University                                                                , 30.8    , 108.761889  , China                           , *
*         , *        , ****@****.com, Male       , *          , mastercard               , $801899.15, Volksbank Mittelhessen eG                                                                                         , Automation Specialist II            , Lumbee                                           , University Goce Delcev                                                              , 41.5    , 20.696064   , Macedonia                       , *
*         , *        , ****@****.com, Female     , *          , diners-club-carte-blanche, $890815.22, SANTANDER BANK                                                                                                    , Physical Therapy Assistant          , Cherokee                                         , Prasetiya Mulya Business School                                                     , -8.0    , 112.5066293 , Indonesia                       , *
*         , *        , ****@****.com, Bigender   , *          , jcb                      , $874085.50, CASSA RURALE ALTOGARDA - ROVERETO - BANCA DI CREDITO COOPERATIVO - SOCIETA' COOPERATIVA                           , Research Nurse                      , Asian Indian                                     , Xi'an University of Architecture and Technology                                     , 30.5    , 120.946263  , China                           , *
*         , *        , ****@****.com, Male       , *          , visa-electron            , $960119.07, PROSPERITY BANK                                                                                                   , Technical Writer                    , Cambodian                                        , Universitas Bung Hatta                                                              , -8.4    , 115.2605    , Indonesia                       , *
*         , *        , ****@****.com, Male       , *          , jcb                      , $383297.26, Raiffeisenbank Mittelkärnten eG                                                                                   , Data Coordinator                    , Melanesian                                       , University of Nova Gorica                                                           , 46.2    , 14.5719694  , Slovenia                        , *
*         , *        , ****@****.org, Female     , *          , jcb                      , $137494.01, SECURITY STATE BANK                                                                                               , Assistant Professor                 , Chippewa                                         , Shahrood University of Medical Sciences                                             , 36.9    , 54.0738979  , Iran                            , *
*         , *        , ****@****.com, Male       , *          , maestro                  , $653435.09, BANK OF AMERICA                                                                                                   , Quality Control Specialist          , Cree                                             , Universidad Abierta Interamericana                                                  , -28.5   , -62.8239098 , Argentina                       , *
*         , *        , ****@****.net, Female     , *          , mastercard               , $798273.19, FIRST STATE BANK                                                                                                  , Accounting Assistant I              , Cherokee                                         , Lulea University of Technology                                                      , 56.4    , 16.0115323  , Sweden                          , *
*         , *        , ****@****.com, Male       , *          , visa-electron            , $9767.35  , CASSA RURALE VAL DI SOLE - BANCA DI CREDITO COOPERATIVO - SOCIETA' COOPERATIVA                                    , Engineer IV                         , Argentinian                                      , Kharkiv State Medical University                                                    , 47.0    , 35.4217024  , Ukraine                         , *
*         , *        , ****@****.org, Female     , *          , maestro                  , $571947.64, LIBERTY BANK                                                                                                      , Analog Circuit Design manager       , Guamanian                                        , Universitas Klabat                                                                  , 3.6     , 96.9309771  , Indonesia                       , *
*         , *        , ****@****.com, Male       , *          , americanexpress          , $743494.45, "Banco Mediolanum, S.A."                                                                                          , Research Assistant II               , Alaskan Athabascan                               , Universitas Merdeka Malang                                                          , -7.2    , 112.0237903 , Indonesia                       , *
*         , *        , ****@****.com, Genderfluid, *          , jcb                      , $65721.42 , FIRST BANK                                                                                                        , Design Engineer                     , South American                                   , Yantai University                                                                   , 35.7    , 111.350842  , China                           , *
*         , *        , ****@****.com, Female     , *          , maestro                  , $22536.67 , PNC BANK                                                                                                          , VP Quality Control                  , Yakama                                           , Tianjin Academy of Fine Art                                                         , 40.2    , 116.12895   , China                           , *
*         , *        , ****@****.com, Male       , *          , diners-club-carte-blanche, $569669.76, FIRST NATIONAL BANK                                                                                               , Nuclear Power Engineer              , Alaska Native                                    , University of Novi Sad                                                              , 44.8    , 19.5985451  , Serbia                          , *
*         , *        , ****@****.com, Female     , *          , diners-club-enroute      , $837876.87, FIRST BANK & TRUST                                                                                                , Professor                           , Ute                                              , Université de Djibouti                                                              , 11.1    , 42.7124984  , Djibouti                        , *
*         , *        , ****@****.edu, Male       , *          , jcb                      , $92083.41 , CAPITAL BANK CORPORATION                                                                                          , Budget/Accounting Analyst I         , Puget Sound Salish                               , Instituto Politécnico de Tomar                                                      , 37.1    , -8.4528179  , Portugal                        , *
*         , *        , ****@****.ru , Male       , *          , visa                     , $348815.64, "National Bank of Greece, S.A."                                                                                   , Executive Secretary                 , Chamorro                                         , Henan Agriculture University                                                        , 38.0    , 114.514893  , China                           , *
*         , *        , ****@****.uk , Male       , *          , jcb                      , $378534.84, TeamBank AG Nürnberg                                                                                              , Cost Accountant                     , Samoan                                           , Universidade da Beira Interior                                                      , 41.3    , -8.0715693  , Portugal                        , *
*         , *        , ****@****.com, Male       , *          , jcb                      , $143768.67, CITIZENS NATIONAL BANK                                                                                            , Internal Auditor                    , Colville                                         , Universidade Cidade de São Paulo                                                    , -4.8    , -42.1644994 , Brazil                          , *
